//  PatLen	   TextLen	  Naive-RT	    KMP-RT
     10000	    910000	     31584	     16809
    100000	    910000	     44646	     34573
        10	    920000	     16611	     13768
       100	    920000	     19957	     13128
      1000	    920000	     17536	     13819
     10000	    920000	     19505	     21758
    100000	    920000	     23097	     18820
        10	    930000	     34589	     28112
       100	    930000	     26590	     16406
      1000	    930000	     36444	     13586
     10000	    930000	     32058	     28604
    100000	    930000	     48595	     18039
        10	    940000	     17604	     26627
       100	    940000	     19076	     25150
      1000	    940000	     17558	     26886
     10000	    940000	     33571	     40649
    100000	    940000	     44741	     37395
        10	    950000	     18581	     14327
       100	    950000	     19983	     14200
      1000	    950000	     21120	     14865
     10000	    950000	     18770	     16498
    100000	    950000	     25115	     21108
        10	    960000	     20555	     32228
       100	    960000	     39774	     33358
      1000	    960000	     37141	     15078
     10000	    960000	     55331	     16736
    100000	    960000	     47817	     57809
        10	    970000	     33661	     20056
       100	    970000	     32587	     27559
      1000	    970000	     17932	     27494
     10000	    970000	     18774	     16345
    100000	    970000	     35472	     36786
        10	    980000	     40267	     29000
       100	    980000	     40211	     28764
      1000	    980000	     32636	     19201
     10000	    980000	     17838	     32973
    100000	    980000	     21814	     43464
        10	    990000	     40308	     27975
       100	    990000	     17612	     33807
      1000	    990000	     38009	     14400
     10000	    990000	     40885	     36666
    100000	    990000	     21829	     37435
        10	   1000000	     29512	     29402
       100	   1000000	     21932	     27935
      1000	   1000000	     18800	     42665
     10000	   1000000	     21802	     17074
    100000	   1000000	     53988	     38691
