//  PatLen	   TextLen	  Naive-RT	    KMP-RT
       100	    690000	      6180	      4384
      1000	    690000	      6101	      4379
     10000	    690000	      6321	      3989
    100000	    690000	      7142	      4422
        10	    700000	      7352	      4469
       100	    700000	      6166	      4420
      1000	    700000	      7343	      4389
     10000	    700000	      6350	      4059
    100000	    700000	      7258	      3176
        10	    710000	      6343	      4493
       100	    710000	      6252	      4511
      1000	    710000	      6314	      4486
     10000	    710000	      6380	      4104
    100000	    710000	      7351	      3197
        10	    720000	      6380	      4593
       100	    720000	      6473	      4583
      1000	    720000	      6447	      4529
     10000	    720000	      6488	      4166
    100000	    720000	      7442	      3260
        10	    730000	      6511	      4646
       100	    730000	      6431	      4615
      1000	    730000	      6901	      4567
     10000	    730000	      6910	      4140
    100000	    730000	      7531	      4778
        10	    740000	      7022	      4732
       100	    740000	      6955	      4639
      1000	    740000	      6592	      4652
     10000	    740000	      6758	      4259
    100000	    740000	      7648	      3303
        10	    750000	      6726	      4749
       100	    750000	      6937	      4735
      1000	    750000	      6646	      4724
     10000	    750000	      6886	      4337
    100000	    750000	      8294	      3313
        10	    760000	      6745	      4814
       100	    760000	      6866	      4806
      1000	    760000	      6722	      4768
     10000	    760000	      6909	      4396
    100000	    760000	      7849	      3360
        10	    770000	      6853	      4864
       100	    770000	      7000	      4888
      1000	    770000	      6808	      4891
     10000	    770000	      6998	      4410
    100000	    770000	      7958	      3410
        10	    780000	      7003	      4927
       100	    780000	      7775	      4937
      1000	    780000	      6904	      4926
     10000	    780000	      7080	      4488
    100000	    780000	      8087	      3421
        10	    790000	      7028	      5025
       100	    790000	      6981	      5001
      1000	    790000	      7095	      4965
     10000	    790000	      7120	      4548
    100000	    790000	      8206	      3461
        10	    800000	      7129	      5129
       100	    800000	      7054	      5045
      1000	    800000	      7083	      4990
     10000	    800000	      7234	      4570
    100000	    800000	      8267	      3486
        10	    810000	      7463	      5156
       100	    810000	      7148	      5076
      1000	    810000	      7272	      5160
     10000	    810000	      7809	      4634
    100000	    810000	      8365	      3516
        10	    820000	      7288	      5200
       100	    820000	      7283	      5196
      1000	    820000	      7270	      5165
     10000	    820000	      7482	      4762
    100000	    820000	      8458	      3563
        10	    830000	      7363	      5262
       100	    830000	      7319	      5206
      1000	    830000	      7319	      5204
     10000	    830000	      7577	      4807
    100000	    830000	      8592	      3571
        10	    840000	      7524	      5321
       100	    840000	      7443	      5293
      1000	    840000	      7408	      5266
     10000	    840000	      7615	      4816
    100000	    840000	      8681	      3594
        10	    850000	      7568	      5356
       100	    850000	      7608	      5405
      1000	    850000	      7497	      5347
     10000	    850000	      7676	      4913
    100000	    850000	      8800	      3645
        10	    860000	      7646	      5460
       100	    860000	      7597	      5442
      1000	    860000	      7650	      5412
     10000	    860000	      7722	      4941
    100000	    860000	      8915	      3689
        10	    870000	      7734	      5501
       100	    870000	      7686	      5497
      1000	    870000	      7680	      5460
     10000	    870000	      8102	      4991
    100000	    870000	      9004	      3723
        10	    880000	      7844	      5610
       100	    880000	      7784	      5552
      1000	    880000	      8128	      5554
     10000	    880000	      7891	      5036
    100000	    880000	      9102	      3731
